"","solID","channels","date_min","date_max","periods","constr_low","constr_up","histSpend","histSpendTotal","initSpendUnitTotal","initSpendUnit","initSpendShare","initResponseUnit","initResponseUnitTotal","initRoiUnit","expSpendTotal","expSpendUnitTotal","expSpendUnitDelta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmResponseUnit","optmResponseUnitTotal","optmRoiUnit","optmResponseUnitLift","optmResponseUnitTotalLift"
"1","5_1034_6","boolean_value_S_1",2020-05-06,2022-05-11,"736 days",0.7,1.2,255544,157250600.610464,319954.266756761,15032,0.046981714456797,0.197876513990889,9.42310965560553,1.31636850712406e-05,230000,230000,-0.281147264165559,10522.4,-0.3,230000,-0.281147264165559,0.0457495652173913,0.109903524914542,8.25076887049936,1.04447203028342e-05,-0.444585298689855,-0.124411242992251
"2","5_1034_6","FB_female_other_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,16764044,157250600.610464,319954.266756761,26317.180533752,0.082252944461463,0.0325312757022633,9.42310965560553,1.2361231348678e-06,230000,230000,-0.281147264165559,18422.0263736264,-0.3,230000,-0.281147264165559,0.0800957668418538,0.0159340557883102,8.25076887049936,8.6494587865328e-07,-0.510192716260383,-0.124411242992251
"3","5_1034_6","FB_male_other_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,94562596,157250600.610464,319954.266756761,129007.634379263,0.403206482248099,8.91437534871837,9.42310965560553,6.90995954744154e-05,230000,230000,-0.281147264165559,96337.3573357519,-0.253242974345733,230000,-0.281147264165559,0.418858075372834,7.98314396127172,8.25076887049936,8.28665450459589e-05,-0.104464009088482,-0.124411242992251
"4","5_1034_6","FB_o36_similar_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,1946307,157250600.610464,319954.266756761,5844.76576576577,0.0182675037436183,0.00393718609509212,9.42310965560553,6.73625984834702e-07,230000,230000,-0.281147264165559,4091.33603603604,-0.3,230000,-0.281147264165559,0.0177884175479828,0.0015576291038837,8.25076887049936,3.80714047969729e-07,-0.604380116595108,-0.124411242992251
"5","5_1034_6","FB_undefined_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,31145577,157250600.610464,319954.266756761,47118.8759455371,0.147267534273448,0.201084404211108,9.42310965560553,4.26759764905118e-06,230000,230000,-0.281147264165559,32983.2131618759,-0.3,230000,-0.281147264165559,0.143405274616852,0.107388584164671,8.25076887049936,3.25585574812332e-06,-0.465952694909502,-0.124411242992251
"6","5_1034_6","Google_listing_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,163289,157250600.610464,319954.266756761,2591.88888888889,0.00810081051633334,0.0204005512403398,9.42310965560553,7.8709204425369e-06,230000,230000,-0.281147264165559,1814.32222222222,-0.3,230000,-0.281147264165559,0.0078883574879227,0.0101385017911734,8.25076887049936,5.58803814834807e-06,-0.503028047049745,-0.124411242992251
"7","5_1034_6","Google_other_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,4121458,157250600.610464,319954.266756761,9607.12820512821,0.0300265669294288,0.0106490761194118,9.42310965560553,1.10845571038882e-06,230000,230000,-0.281147264165559,6724.98974358974,-0.3,230000,-0.281147264165559,0.0292390858416945,0.00398956752036267,8.25076887049936,5.9324514571424e-07,-0.625360221335048,-0.124411242992251
"8","5_1034_6","Google_Proslisting_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,5524498,157250600.610464,319954.266756761,24019.5565217391,0.075071843126879,0.00538048419989749,9.42310965560553,2.24004310613638e-07,230000,230000,-0.281147264165559,16813.6895652174,-0.3,230000,-0.281147264165559,0.0731029981096408,0.00186889979475539,8.25076887049936,1.1115346144023e-07,-0.652652117296248,-0.124411242992251
"9","5_1034_6","Influencer_big_fix_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,2581992.610464,157250600.610464,319954.266756761,57377.6135658667,0.179330671684672,0.0368748153281504,9.42310965560553,6.42669031290748e-07,230000,230000,-0.281147264165559,40164.3294961067,-0.3,230000,-0.281147264165559,0.17462751954829,0.0168441461499379,8.25076887049936,4.19380738114169e-07,-0.543207308293176,-0.124411242992251
"10","5_1034_6","Yahoo_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,185295,157250600.610464,319954.266756761,3037.62295081967,0.00949392855926178,0,9.42310965560553,0,230000,230000,-0.281147264165559,2126.33606557377,-0.3,230000,-0.281147264165559,0.00924493941553813,0,8.25076887049936,0,NA,-0.124411242992251
